Date,DXY Index,ADXY Index,SPX Index,LQD US Equity,LF98TRUU Index,TLT US Equity,USGG2YR Index,CCMP Index,CRB CMDT Index,EUCRBRDT Index,LOCADY Comdty,XAU Curncy,AMZN US Equity
11/1/11,80.846,115.83,1274.48,109.05,1223.24,92.33,0.585,2716.83,532.53,96.75,9484,1381.58,9.217
12/1/11,80.031,116.42,1285.96,108.98,1225.22,91.61,0.6009,2737.33,536.32,97.33,9625,1387.9,9.204
13/1/11,79.191,116.47,1283.76,109.45,1227.06,92.43,0.5768,2735.29,537.91,97.26,9622,1373.6,9.277
14/1/11,79.162,116.17,1293.24,108.93,1227.46,91.835,0.5685,2755.3,536.92,98.11,9591,1361.85,9.438
17/1/11,79.337,116.08,1293.24,108.93,1227.46,91.835,0.5765,2755.3,536.92,97.3,9690,1361.61,9.438
18/1/11,78.962,116.33,1295.02,108.87,1229.37,91.41,0.5845,2765.85,541.06,97.09,9740,1368.34,9.563
19/1/11,78.64,116.24,1281.92,108.79,1230.12,92.07,0.5683,2725.36,540.81,97.33,9788,1369.86,9.344
20/1/11,78.823,115.98,1280.26,108.32,1229.59,90.8,0.625,2704.29,541.49,95.81,9485,1346.25,9.098
21/1/11,78.213,116.2,1283.35,108.48,1230.42,91.52,0.6087,2689.54,542.1,96.95,9485,1342.68,8.871
24/1/11,78.05,116.09,1290.84,108.53,1232.5,91.56,0.625,2717.55,546.27,95.96,9509,1334.4,8.843
25/1/11,78.002,115.97,1291.18,109.07,1234.29,92.43,0.576,2719.25,545.38,94.62,9330,1332.43,8.835
26/1/11,77.898,116.27,1296.63,108.46,1235.51,91.03,0.625,2739.5,548.16,97.65,9376,1346,8.769
27/1/11,77.727,116.23,1299.54,108.64,1236.95,91.44,0.5778,2755.28,548.16,96.53,9490,1313.53,9.223
28/1/11,78.133,115.82,1276.34,108.78,1237.77,91.92,0.5385,2686.89,551.03,98.55,9590,1336.78,8.557
31/1/11,77.735,115.81,1286.12,108.48,1237.91,91.22,0.562,2700.08,554.45,99.78,9720,1332.68,8.482
1/2/11,77.067,116.52,1307.59,107.91,1239.52,90.45,0.6013,2751.19,556.51,101.01,9840.5,1341.4,8.606
2/2/11,77.158,116.7,1304.03,107.7,1241.16,90.47,0.6566,2749.56,558.28,102.07,9945,1335.25,8.677
3/2/11,77.748,116.6,1307.1,107.4375,1242.42,89.72,0.7042,2753.88,557.91,101.29,9950.5,1354.35,8.686
4/2/11,78.044,116.42,1310.87,107.11,1244.24,88.81,0.7444,2769.3,559.39,99.63,9986,1348.93,8.797
7/2/11,78.029,116.58,1319.05,107.23,1246.84,89.27,0.7606,2783.99,560.1,99.12,10145,1351.28,8.822
8/2/11,77.999,116.77,1324.57,106.84,1248.28,88.45,0.8488,2797.05,561.89,100.08,9930.5,1363.98,9.153
9/2/11,77.641,116.6,1320.88,107.53,1248.56,89.22,0.793,2789.07,564.94,101.74,10000,1363.73,9.265
10/2/11,78.25,116.24,1321.87,107,1247.46,88.19,0.8334,2790.45,566.05,101.52,9875.5,1363.8,9.311
11/2/11,78.46,116.06,1329.15,107.59,1247.78,89.46,0.8342,2809.44,563.84,100.39,9920.5,1356.95,9.463
14/2/11,78.614,115.99,1332.32,107.66,1249.11,89.521,0.8426,2817.18,563.18,102.29,10148,1361.78,9.521
15/2/11,78.573,115.98,1328.01,107.9,1249.41,89.92,0.8186,2804.35,561.46,101.2,10106.5,1373.85,9.452
16/2/11,78.223,116.29,1336.32,107.77,1250.47,89.63,0.827,2825.56,561.68,103.73,9925,1374.39,9.331
17/2/11,77.995,116.44,1340.43,107.97,1252.44,89.77,0.7624,2831.58,563.88,102.46,9800,1384.08,9.388
18/2/11,77.664,116.67,1343.01,108.13,1253.77,89.49,0.7469,2833.95,552.99,102.19,9806,1389.99,9.325
21/2/11,77.689,116.48,1343.01,108.13,1253.77,89.49,0.7553,2833.95,552.99,107.4,9829.5,1406.45,9.325
22/2/11,77.768,115.98,1315.45,108.43,1254.33,90.83,0.6902,2756.42,557.43,105.89,9655,1399.14,9.021
23/2/11,77.409,115.96,1307.4,108.3,1252.87,91.16,0.7433,2722.99,557.39,111.83,9491,1411.64,8.834
24/2/11,77.057,115.96,1306.1,108.42,1251.57,91.74,0.7354,2737.9,555.02,111.24,9440,1402.66,8.888
25/2/11,77.275,116.16,1319.88,108.93,1252.52,92.28,0.7117,2781.05,561.86,112.09,9700,1410.65,8.862
28/2/11,76.889,116.23,1327.22,109.22,1254.13,92.4,0.6802,2782.27,565.78,111.94,9857.5,1411.33,8.665
1/3/11,77.049,116.23,1306.33,108.79,1256,92.37,0.6408,2737.41,565.78,116.02,9908,1433.38,8.472
2/3/11,76.671,116.43,1308.44,108.21,1255.89,90.95,0.6883,2748.07,567.21,115.96,9820.5,1434.4,8.601
3/3/11,76.483,116.7,1330.97,107.75,1256.41,90.06,0.7598,2798.74,568.52,114.46,9889.5,1415.88,8.64
4/3/11,76.4,116.67,1321.15,108.16,1256.73,90.81,0.6807,2784.67,572.98,115.72,9970.5,1430.95,8.583
7/3/11,76.496,116.64,1310.13,107.89,1257.07,90.23,0.6967,2745.63,571.94,114.6,9840.5,1432.05,8.454
8/3/11,76.798,116.7,1321.82,107.75,1256.86,89.68,0.7207,2765.77,569.32,112.67,9420,1428.88,8.345
9/3/11,76.721,116.72,1320.03,108.31,1257.08,90.55,0.6889,2751.72,567.47,115.32,9610,1430.75,8.453
10/3/11,77.276,116.29,1295.11,108.75,1254.87,92.075,0.633,2701.02,565.15,114.69,9195.5,1411.85,8.307
11/3/11,76.776,116.49,1304.28,108.65,1253.72,91.55,0.641,2715.61,560.25,112.9,9048,1417.65,8.404
14/3/11,76.349,116.5,1296.39,108.77,1253.99,91.51,0.5928,2700.97,559.05,113.49,9205.5,1426.43,8.337
15/3/11,76.328,116.08,1281.87,108.76,1247.57,92.88,0.6008,2667.33,551.59,107.8,8980,1395.7,8.254
16/3/11,76.681,115.9,1256.88,109.41,1249.57,93.93,0.5445,2616.82,551.59,110.16,9354.5,1399.03,8.235
17/3/11,76.041,116.09,1273.71,109.34,1250.23,93.21,0.5845,2636.05,551.59,114.81,9440,1403.81,8.049
18/3/11,75.718,116.31,1279.21,109.41,1252.62,93.46,0.5845,2643.67,560.26,114.3,9525,1418.56,8.091
21/3/11,75.401,116.65,1298.38,109.06,1254.88,92.91,0.6331,2692.09,560.56,114.42,9519,1427.79,8.226
22/3/11,75.434,116.78,1293.77,109.26,1255.5,93.22,0.6494,2683.87,562.52,115.83,9450,1427.85,8.13
23/3/11,75.794,116.66,1297.54,109.19,1255.39,93.1,0.6575,2698.3,563.14,115,9704,1437.43,8.266
24/3/11,75.656,116.92,1309.66,108.83,1255.66,92.4,0.6902,2736.42,568.87,115.58,9695.5,1430.43,8.555
25/3/11,76.217,116.95,1313.8,108.67,1255.89,92.17,0.7315,2743.06,570.15,115.83,9715,1429.88,8.549
28/3/11,76.128,116.81,1310.19,108.71,1256.8,92.3,0.7481,2730.68,570.75,114.69,9545,1420.3,8.468
29/3/11,76.249,116.87,1319.44,108.18,1256.7,91.59,0.8131,2756.89,571.57,115.48,9450,1418.45,8.731
30/3/11,76.118,117.12,1328.26,108.55,1257.85,92.32,0.7816,2776.79,569.27,115.17,9519.5,1422.98,8.971
31/3/11,75.857,117.29,1325.83,108.2,1258.19,92.13,0.8211,2781.07,575.25,117.25,9399.5,1432.2,9.006
1/4/11,75.833,117.61,1332.41,108.28,1260.63,92.19,0.7976,2789.6,576.28,118.68,9336,1428.73,9.006
4/4/11,75.912,117.71,1332.87,108.53,1262.92,92.29,0.7579,2789.19,576.24,120.67,9420,1434.03,9.147
5/4/11,75.882,117.77,1332.63,108.59,1263.58,91.92,0.8136,2791.19,578.75,121.36,9251.5,1455.85,9.265
6/4/11,75.514,117.84,1335.54,108.24,1265.45,90.54,0.8297,2799.82,578.06,121.93,9475.5,1459.75,9.138
7/4/11,75.585,117.83,1333.51,108.08,1266.66,90.36,0.7819,2796.14,578.06,122.67,9697,1458.2,9.246
8/4/11,75.066,118.02,1328.17,108.02,1267.4,89.88,0.8061,2780.41,579.68,126.74,9823,1474.91,9.236
11/4/11,75.056,117.84,1324.46,108.03,1268.66,89.96,0.8222,2771.51,579.02,123.03,9781.5,1463.15,9.202
12/4/11,74.853,117.67,1314.16,108.41,1267.94,90.93,0.742,2744.79,579.02,121.04,9670.5,1452.98,9.024
13/4/11,74.98,117.82,1314.41,108.6,1268.76,91.5,0.7259,2761.52,577.88,122.77,9625.5,1457.36,9.115
14/4/11,74.685,117.93,1314.52,108.33,1268.59,91.43,0.7661,2760.22,576.31,122.67,9326.5,1474.15,9.091
15/4/11,74.832,117.99,1319.68,108.9,1269.13,92.67,0.6934,2764.65,574.43,124.06,9420,1486.88,9
18/4/11,75.504,117.68,1305.14,109.05,1269.13,92.88,0.661,2735.38,575.97,122.18,9356.5,1495.3,8.917
19/4/11,75.029,118.09,1312.62,109.28,1269.29,93.28,0.6447,2744.97,575.44,121.57,9279,1496.4,8.941
20/4/11,74.368,118.36,1330.36,109.33,1270.93,92.68,0.6608,2802.51,575.48,123.93,9450.5,1502.4,9.194
21/4/11,74.109,118.36,1337.39,109.43,1271.86,92.6,0.6603,2820.16,576.8,124.21,9611,1504.88,9.295
22/4/11,74.108,118.44,1337.39,109.43,1271.86,92.6,0.652,2820.16,576.8,124.21,9611,1507.04,9.295
25/4/11,73.986,118.29,1335.25,109.54,1273.29,92.95,0.6355,2825.88,575.23,124.21,9611,1507.23,9.271
26/4/11,73.837,118.33,1347.24,110.05,1274.3,93.85,0.6029,2847.54,573.39,123.92,9455.5,1506.25,9.115
27/4/11,73.519,118.66,1355.66,109.91,1274.67,92.89,0.6408,2869.88,569.79,125.67,9348.5,1527.05,9.832
28/4/11,73.121,118.84,1360.48,110.26,1275.73,93.6,0.6171,2872.53,566.37,124.58,9370.5,1536.2,9.753
29/4/11,72.933,119.09,1363.61,110.47,1277.69,93.89,0.6013,2873.54,569.61,126.06,9370.5,1563.7,9.791
2/5/11,72.951,119.11,1361.22,110.3,1279.34,93.64,0.6013,2864.08,569.7,124.36,9370.5,1545.45,10.06
3/5/11,73.14,118.86,1356.62,110.25,1279.75,94.17,0.6013,2841.62,569.7,122.05,9245,1535.9,9.923
4/5/11,73.031,118.6,1347.32,110.41,1280.52,94.59,0.5854,2828.23,565.64,120.62,9171.5,1516.22,9.999
5/5/11,74.194,118.03,1335.1,110.79,1280.51,95.49,0.5734,2814.72,558.79,110.58,8791,1474.3,9.856
6/5/11,74.841,118.43,1340.2,110.79,1281.55,95.07,0.5493,2827.56,554.03,109.85,8790,1495.58,9.88
9/5/11,74.737,118.63,1346.3,110.9,1282.67,94.97,0.5453,2843.25,555.55,115.68,8908,1513.73,10.04
10/5/11,74.611,118.73,1357.16,110.45,1283.08,94.29,0.585,2871.89,554.94,117.59,8935.5,1516.26,10.197
11/5/11,75.327,118.47,1342.08,110.63,1283.88,94.83,0.545,2845.06,554.94,112.59,8750.5,1501.41,10.219
12/5/11,75.24,118.37,1348.65,110.37,1283.27,94.23,0.5509,2863.04,553.68,112.71,8536.5,1505.88,10.304
13/5/11,75.757,117.96,1337.77,110.7,1283.5,95.08,0.5325,2828.47,553.25,113.8,8857,1495.15,10.128
